Genre,Number of Games,Total Players,Average Playtime
2445690,0,"200,000 .. 500,000",1829
1084520,0,"200,000 .. 500,000",492
1024380,0,"200,000 .. 500,000",441
547680,0,"200,000 .. 500,000",1401
518150,0,"200,000 .. 500,000",648
692530,0,"200,000 .. 500,000",293
412470,0,"200,000 .. 500,000",435
329070,0,"200,000 .. 500,000",198
979110,0,"200,000 .. 500,000",1256
2768430,0,"200,000 .. 500,000",776
2646460,0,"200,000 .. 500,000",5526
2162800,0,"200,000 .. 500,000",1264
1197260,0,"200,000 .. 500,000",0
608990,0,"200,000 .. 500,000",1064
1412190,0,"200,000 .. 500,000",0
1173510,0,"200,000 .. 500,000",56337
951440,0,"200,000 .. 500,000",636
1618540,0,"200,000 .. 500,000",605
661130,0,"200,000 .. 500,000",6797
840800,0,"200,000 .. 500,000",1747
708720,0,"200,000 .. 500,000",0
454120,0,"200,000 .. 500,000",5290
1881200,0,"200,000 .. 500,000",239
2795640,0,"200,000 .. 500,000",159
366090,0,"200,000 .. 500,000",2435
2464530,0,"200,000 .. 500,000",218
491540,0,"200,000 .. 500,000",692
1705180,0,"200,000 .. 500,000",649
2904000,0,"200,000 .. 500,000",1106
1594320,0,"200,000 .. 500,000",6683
1343620,0,"200,000 .. 500,000",49
1162750,0,"200,000 .. 500,000",2040
1857090,0,"200,000 .. 500,000",886
2784470,0,"200,000 .. 500,000",873
700030,0,"200,000 .. 500,000",3379
1024890,0,"200,000 .. 500,000",0
3168200,0,"200,000 .. 500,000",0
1106750,0,"200,000 .. 500,000",234
2909110,0,"200,000 .. 500,000",269
1444480,0,"200,000 .. 500,000",658
1911610,0,"200,000 .. 500,000",490
1674170,0,"200,000 .. 500,000",945
1369670,0,"200,000 .. 500,000",1784
2063480,0,"200,000 .. 500,000",135
544550,0,"200,000 .. 500,000",5684
412210,0,"200,000 .. 500,000",239
324080,0,"200,000 .. 500,000",1183
2709600,0,"200,000 .. 500,000",0
541200,0,"200,000 .. 500,000",169
232810,0,"200,000 .. 500,000",632
285580,0,"200,000 .. 500,000",55
2086430,0,"200,000 .. 500,000",860
2452090,0,"200,000 .. 500,000",2226
955740,0,"200,000 .. 500,000",741
1548850,0,"200,000 .. 500,000",359
1621070,0,"200,000 .. 500,000",395
2356780,0,"200,000 .. 500,000",459
1957780,0,"200,000 .. 500,000",1272
518030,0,"200,000 .. 500,000",437
2230370,0,"200,000 .. 500,000",0
973230,0,"200,000 .. 500,000",621
1437760,0,"200,000 .. 500,000",303
340810,0,"200,000 .. 500,000",91
2141520,0,"200,000 .. 500,000",21
672870,0,"200,000 .. 500,000",0
1578390,0,"200,000 .. 500,000",2881
244770,0,"200,000 .. 500,000",881
666150,0,"200,000 .. 500,000",1206
3058630,0,"200,000 .. 500,000",481
1555290,0,"200,000 .. 500,000",0
444930,0,"200,000 .. 500,000",92
673560,0,"200,000 .. 500,000",236
1069740,0,"200,000 .. 500,000",131
1360000,0,"200,000 .. 500,000",461
2678410,0,"200,000 .. 500,000",0
771060,0,"200,000 .. 500,000",493
2348120,0,"200,000 .. 500,000",154
610670,0,"200,000 .. 500,000",440
887570,0,"200,000 .. 500,000",1120
1700870,0,"200,000 .. 500,000",783
2328480,0,"200,000 .. 500,000",508
2186320,0,"200,000 .. 500,000",651
987350,0,"200,000 .. 500,000",214
1118920,0,"200,000 .. 500,000",0
272230,0,"200,000 .. 500,000",453
1807080,0,"200,000 .. 500,000",468
2294660,0,"200,000 .. 500,000",2612
586030,0,"200,000 .. 500,000",127
1677110,0,"200,000 .. 500,000",609
1394270,0,"200,000 .. 500,000",0
976890,0,"200,000 .. 500,000",322
606140,0,"200,000 .. 500,000",271
1600530,0,"200,000 .. 500,000",0
576770,0,"200,000 .. 500,000",1007
251890,0,"200,000 .. 500,000",114
979640,0,"200,000 .. 500,000",390
1096200,0,"200,000 .. 500,000",0
1410090,0,"200,000 .. 500,000",7
803140,0,"200,000 .. 500,000",0
415860,0,"200,000 .. 500,000",35
1482860,0,"200,000 .. 500,000",3248
1648390,0,"200,000 .. 500,000",123
1494420,0,"200,000 .. 500,000",332
3121110,0,"200,000 .. 500,000",155
1333720,0,"200,000 .. 500,000",0
890550,0,"200,000 .. 500,000",167
1193340,0,"200,000 .. 500,000",326
2321210,0,"200,000 .. 500,000",453
786520,0,"200,000 .. 500,000",12405
1122050,0,"200,000 .. 500,000",133
3156770,0,"200,000 .. 500,000",806
496440,0,"200,000 .. 500,000",276
682290,0,"200,000 .. 500,000",36
764570,0,"200,000 .. 500,000",37
715400,0,"200,000 .. 500,000",490
598960,0,"200,000 .. 500,000",5259
312150,0,"200,000 .. 500,000",56
1378360,0,"200,000 .. 500,000",1979
810040,0,"200,000 .. 500,000",418
2432990,0,"200,000 .. 500,000",0
1001270,0,"200,000 .. 500,000",862
1211600,0,"200,000 .. 500,000",780
1310740,0,"200,000 .. 500,000",0
885570,0,"200,000 .. 500,000",1540
1103950,0,"200,000 .. 500,000",372
773790,0,"200,000 .. 500,000",1719
1053680,0,"200,000 .. 500,000",142
671610,0,"200,000 .. 500,000",0
720620,0,"200,000 .. 500,000",1441
1452650,0,"200,000 .. 500,000",29
576470,0,"200,000 .. 500,000",226
2457580,0,"200,000 .. 500,000",208
572520,0,"200,000 .. 500,000",890
1708150,0,"200,000 .. 500,000",133
325420,0,"200,000 .. 500,000",1463
1423410,0,"200,000 .. 500,000",0
1058770,0,"200,000 .. 500,000",4485
983870,0,"200,000 .. 500,000",2182
719890,0,"200,000 .. 500,000",14007
292000,0,"200,000 .. 500,000",1606
446030,0,"200,000 .. 500,000",165
1770080,0,"200,000 .. 500,000",1005
2890830,0,"200,000 .. 500,000",463
3020510,0,"200,000 .. 500,000",2037
1269370,0,"200,000 .. 500,000",447
274620,0,"200,000 .. 500,000",152
2916430,0,"200,000 .. 500,000",539
562270,0,"200,000 .. 500,000",10547
1969930,0,"200,000 .. 500,000",0
674690,0,"200,000 .. 500,000",0
619340,0,"200,000 .. 500,000",329
629910,0,"200,000 .. 500,000",4595
2344320,0,"200,000 .. 500,000",171
1695840,0,"200,000 .. 500,000",146
1718870,0,"200,000 .. 500,000",4520
1566200,0,"200,000 .. 500,000",791
1715730,0,"200,000 .. 500,000",358
305840,0,"200,000 .. 500,000",216
2059170,0,"200,000 .. 500,000",1190
414120,0,"200,000 .. 500,000",33
2517500,0,"200,000 .. 500,000",0
1026110,0,"200,000 .. 500,000",0
1572470,0,"200,000 .. 500,000",0
1766060,0,"200,000 .. 500,000",606
2257590,0,"200,000 .. 500,000",0
1411910,0,"200,000 .. 500,000",258
2099110,0,"200,000 .. 500,000",505
397100,0,"200,000 .. 500,000",153
853770,0,"200,000 .. 500,000",515
315330,0,"200,000 .. 500,000",168
2336720,0,"200,000 .. 500,000",370
1383550,0,"200,000 .. 500,000",443
1494840,0,"200,000 .. 500,000",677
1199640,0,"200,000 .. 500,000",0
1609730,0,"200,000 .. 500,000",0
774541,0,"100,000 .. 200,000",806
997380,0,"100,000 .. 200,000",609
795580,0,"100,000 .. 200,000",72
1008580,0,"100,000 .. 200,000",0
1141530,0,"100,000 .. 200,000",18459
2082300,0,"100,000 .. 200,000",0
1919040,0,"100,000 .. 200,000",320
909750,0,"100,000 .. 200,000",0
586110,0,"100,000 .. 200,000",0
2306590,0,"100,000 .. 200,000",56
1683150,0,"100,000 .. 200,000",19057
322780,0,"100,000 .. 200,000",2327
2400160,0,"100,000 .. 200,000",272
389040,0,"100,000 .. 200,000",1049
691730,0,"100,000 .. 200,000",234
442710,0,"100,000 .. 200,000",336
762240,0,"100,000 .. 200,000",0
2625420,0,"100,000 .. 200,000",1032
1612620,0,"100,000 .. 200,000",481
860020,0,"100,000 .. 200,000",81
1093720,0,"100,000 .. 200,000",0
1970610,0,"100,000 .. 200,000",0
407050,0,"100,000 .. 200,000",0
2254890,0,"100,000 .. 200,000",1791
1096360,0,"100,000 .. 200,000",0
640150,0,"100,000 .. 200,000",67
1152340,0,"100,000 .. 200,000",226
2239710,0,"100,000 .. 200,000",780
1150820,0,"100,000 .. 200,000",0
2607780,0,"100,000 .. 200,000",0
1114860,0,"100,000 .. 200,000",0
890520,0,"100,000 .. 200,000",0
2229900,0,"100,000 .. 200,000",0
1550710,0,"100,000 .. 200,000",128
224440,0,"100,000 .. 200,000",321
1159290,0,"100,000 .. 200,000",371
1592280,0,"100,000 .. 200,000",332
1220840,0,"100,000 .. 200,000",634
2116120,0,"100,000 .. 200,000",734
1133430,0,"100,000 .. 200,000",217
1860510,0,"100,000 .. 200,000",1172
956000,0,"100,000 .. 200,000",0
2314160,0,"100,000 .. 200,000",725
2597080,0,"100,000 .. 200,000",1323
1543150,0,"100,000 .. 200,000",382
891220,0,"100,000 .. 200,000",0
1134710,0,"100,000 .. 200,000",1184
416670,0,"100,000 .. 200,000",361
1787820,0,"100,000 .. 200,000",209
461430,0,"100,000 .. 200,000",923
